Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
168,OFSS,Oracle Financial Services Software Limited,2819710
169,FEDERALBNK,The Federal Bank  Limited,2801027
170,MANYAVAR,Vedant Fashions Limited,2765608
171,UNOMINDA,UNO Minda Limited,2755450
172,AIAENG,AIA Engineering Limited,2738215
173,THERMAX,Thermax Limited,2731896
174,OIL,Oil India Limited,2728906
175,VOLTAS,Voltas Limited,2707464
176,3MINDIA,3M India Limited,2586894
177,COROMANDEL,Coromandel International Limited,2585081
178,SUNDARMFIN,Sundaram Finance Limited,2554833
179,KPITTECH,KPIT Technologies Limited,2536104
180,DEEPAKNTR,Deepak Nitrite Limited,2513178
181,ESCORTS,Escorts Kubota Limited,2495063
182,BIOCON,Biocon Limited,2477438
183,TATACHEM,Tata Chemicals Limited,2477377
184,TORNTPOWER,Torrent Power Limited,2453068
185,GMRINFRA,GMR Airports Infrastructure Limited,2447576
186,BHEL,Bharat Heavy Electricals Limited,2439185
187,SONACOMS,Sona BLW Precision Forgings Limited,2420648
188,DELHIVERY,Delhivery Limited,2416784
189,SYNGENE,Syngene International Limited,2386528
190,CRISIL,CRISIL Limited,2352052
191,GICRE,General Insurance Corporation of India,2344756
192,COFORGE,Coforge Limited,2329509
193,PHOENIXLTD,The Phoenix Mills Limited,2323555
194,JKCEMENT,JK Cement Limited,2259092
195,POONAWALLA,Poonawalla Fincorp Limited,2246207
196,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2244206
197,MFSL,Max Financial Services Limited,2191479
198,METROBRAND,Metro Brands Limited,2159328
199,MSUMI,Motherson Sumi Wiring India Limited,2133185
200,SUMICHEM,Sumitomo Chemical India Limited,2126860
201,RELAXO,Relaxo Footwears Limited,2118236
202,NAVINFLUOR,Navin Fluorine International Limited,2116258
203,SKFINDIA,SKF India Limited,2103956
204,CENTRALBK,Central Bank of India,2092106
205,GLAND,Gland Pharma Limited,2088684
206,KANSAINER,Kansai Nerolac Paints Limited,2084541
207,GRINDWELL,Grindwell Norton Limited,2079764
208,TIMKEN,Timken India Limited,2072615
209,IPCALAB,IPCA Laboratories Limited,2055892
210,SUNDRMFAST,Sundram Fasteners Limited,2055055
211,ATUL,Atul Limited,2053877
212,ZEEL,Zee Entertainment Enterprises Limited,2038702
213,L&TFH,L&T Finance Holdings Limited,2034570
214,ABFRL,Aditya Birla Fashion and Retail Limited,2033642
215,APOLLOTYRE,Apollo Tyres Limited,2031688
216,KPRMILL,K.P.R. Mill Limited,1976027
217,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,1974307
218,FORTIS,Fortis Healthcare Limited,1962136
219,AARTIIND,Aarti Industries Limited,1878315
220,HATSUN,Hatsun Agro Product Limited,1876431
221,CARBORUNIV,Carborundum Universal Limited,1871932
222,CROMPTON,Crompton Greaves Consumer Electricals Limited,1863440
223,VINATIORGA,Vinati Organics Limited,1858711
224,IIFL,IIFL Finance Limited,1855993
225,BATAINDIA,Bata India Limited,1822970
226,BDL,Bharat Dynamics Limited,1812102
227,LICHSGFIN,LIC Housing Finance Limited,1808332
228,RAJESHEXPO,Rajesh Exports Limited,1801381
229,RAMCOCEM,The Ramco Cements Limited,1787906
230,ENDURANCE,Endurance Technologies Limited,1746540
231,DEVYANI,Devyani International Limited,1742977
232,PSB,Punjab & Sind Bank,1738502
233,DIXON,Dixon Technologies (India) Limited,1704195
234,KAJARIACER,Kajaria Ceramics Limited,1678789
235,WHIRLPOOL,Whirlpool of India Limited,1668428
236,MAHABANK,Bank of Maharashtra,1665798
237,SUNTV,Sun TV Network Limited,1638801
238,PEL,Piramal Enterprises Limited,1618975
239,PRESTIGE,Prestige Estates Projects Limited,1616274
240,NIACL,The New India Assurance Company Limited,1603504
241,RADICO,Radico Khaitan Limited,1596867
242,PFIZER,Pfizer Limited,1586142
243,NH,Narayana Hrudayalaya Ltd.,1582059
244,EMAMILTD,Emami Limited,1581743
245,LAURUSLABS,Laurus Labs Limited,1577978
246,FIVESTAR,Five-Star Business Finance Limited,1575125
247,AJANTPHARM,Ajanta Pharma Limited,1548777
248,INDIAMART,Indiamart Intermesh Limited,1536775
249,360ONE,360 ONE WAM LIMITED,1533603
250,KEI,KEI Industries Limited,1532054
251,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1529252
252,LALPATHLAB,Dr. Lal Path Labs Ltd.,1524048
253,JSL,Jindal Stainless Limited,1522886
254,IRB,IRB Infrastructure Developers Limited,1518809
255,EXIDEIND,Exide Industries Limited,1512575
256,GSPL,Gujarat State Petronet Limited,1495160
257,BLUEDART,Blue Dart Express Limited,1474205
258,NATIONALUM,National Aluminium Company Limited,1439919
259,RVNL,Rail Vikas Nigam Limited,1430324
260,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1429656
261,TRIDENT,Trident Limited,1424320
262,POWERINDIA,Hitachi Energy India Limited,1416989
263,MEDANTA,Global Health Limited,1413200
264,GILLETTE,Gillette India Limited,1406411
265,RATNAMANI,Ratnamani Metals & Tubes Limited,1389118
266,ELGIEQUIP,Elgi Equipments Limited,1388537
267,ISEC,ICICI Securities Limited,1382035
268,CGCL,Capri Global Capital Limited,1362980
269,GODREJIND,Godrej Industries Limited,1359514
270,CLEAN,Clean Science and Technology Limited,1346986
271,MAZDOCK,Mazagon Dock Shipbuilders Limited,1337306
272,AEGISCHEM,Aegis Logistics Limited,1330115
273,FACT,Fertilizers and Chemicals Travancore Limited,1329086
274,BLUESTARCO,Blue Star Limited,1328313
275,SANOFI,Sanofi India Limited,1320898
276,FINEORG,Fine Organic Industries Limited,1320495
277,AFFLE,Affle (India) Limited,1315321
278,GLENMARK,Glenmark Pharmaceuticals Limited,1311235
279,NAM-INDIA,Nippon Life India Asset Management Limited,1308980
280,SJVN,SJVN Limited,1306657
281,REDINGTON,Redington Limited,1302471
282,AAVAS,Aavas Financiers Limited,1273409
283,IDFC,IDFC Limited,1256788
284,FINCABLES,Finolex Cables Limited,1242785
285,NUVOCO,Nuvoco Vistas Corporation Limited,1231832
286,BAJAJELEC,Bajaj Electricals Limited,1210481
287,APTUS,Aptus Value Housing Finance India Limited,1209715
288,SUVENPHAR,Suven Pharmaceuticals Limited,1202565
289,ASTERDM,Aster DM Healthcare Limited,1202328
290,RHIM,RHI MAGNESITA INDIA LIMITED,1184941
291,KEC,KEC International Limited,1173223
292,SONATSOFTW,Sonata Software Limited,1172596
293,AETHER,Aether Industries Limited,1166105
294,DCMSHRIRAM,DCM Shriram Limited,1165513
295,IEX,Indian Energy Exchange Limited,1140921
296,HAPPSTMNDS,Happiest Minds Technologies Limited,1127692
297,KIMS,Krishna Institute of Medical Sciences Limited,1121549
298,ALKYLAMINE,Alkyl Amines Chemicals Limited,1101423
299,CYIENT,Cyient Limited,1100498
300,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1099205
301,ASAHIINDIA,Asahi India Glass Limited,1099131
302,CASTROLIND,Castrol India Limited,1097431
303,BRIGADE,Brigade Enterprises Limited,1095283
304,KALYANKJIL,Kalyan Jewellers India Limited,1085161
305,TTML,Tata Teleservices (Maharashtra) Limited,1084007
306,VGUARD,V-Guard Industries Limited,1080458
307,NLCINDIA,NLC India Limited,1069790
308,LAXMIMACH,Lakshmi Machine Works Limited,1066409
309,TRITURBINE,Triveni Turbine Limited,1059007
310,FINPIPE,Finolex Industries Limited,1058534
311,AKZOINDIA,Akzo Nobel India Limited,1047678
312,MANAPPURAM,Manappuram Finance Limited,1046990
313,EIHOTEL,EIH Limited,1035916
314,CENTURYPLY,Century Plyboards (India) Limited,1035770
315,NATCOPHARM,Natco Pharma Limited,1028436
316,KIOCL,KIOCL Limited,1024364
317,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1022732
318,CAMPUS,Campus Activewear Limited,1015519
319,CAMS,Computer Age Management Services Limited,995035
320,AMARAJABAT,Amara Raja Batteries Limited,989175
321,ZYDUSWELL,Zydus Wellness Limited,986489
322,BASF,BASF India Limited,985008
323,TEJASNET,Tejas Networks Limited,977791
324,APLLTD,Alembic Pharmaceuticals Limited,975641
325,MGL,Mahanagar Gas Limited,971430
326,GRINFRA,G R Infraprojects Limited,971338
327,ANGELONE,Angel One Limited,970012
328,SFL,Sheela Foam Limited,969705
329,TTKPRESTIG,TTK Prestige Limited,969120
330,APARINDS,Apar Industries Limited,958591
331,HINDCOPPER,Hindustan Copper Limited,951068
332,CDSL,Central Depository Services (India) Limited,949644
333,GODFRYPHLP,Godfrey Phillips India Limited,946159
334,RENUKA,Shree Renuka Sugars Limited,938664
335,CUB,City Union Bank Limited,931814
336,JKLAKSHMI,JK Lakshmi Cement Limited,931241
337,ANURAS,Anupam Rasayan India Limited,929945
338,MRPL,Mangalore Refinery and Petrochemicals Limited,920991
339,GESHIP,The Great Eastern Shipping Company Limited,920206
340,POLYMED,Poly Medicure Limited,914014
341,NSLNISP,NMDC Steel Limited,909953
342,BIKAJI,Bikaji Foods International Limited,904723
343,MOTILALOFS,Motilal Oswal Financial Services Limited,902921
344,ABSLAMC,Aditya Birla Sun Life AMC Limited,896256
345,CESC,CESC Limited,883493
346,TATAINVEST,Tata Investment Corporation Limited,882736
347,ALLCARGO,Allcargo Logistics Limited,873816
348,PNBHOUSING,PNB Housing Finance Limited,866321
349,HUDCO,Housing & Urban Development Corporation Limited,865822
350,ITI,ITI Limited,856044
351,ROUTE,ROUTE MOBILE LIMITED,852912
352,RITES,RITES Limited,851990
353,VTL,Vardhman Textiles Limited,849166
354,RBLBANK,RBL Bank Limited,845961
355,HFCL,HFCL Limited,839744
356,KARURVYSYA,Karur Vysya Bank Limited,837096
357,CERA,Cera Sanitaryware Limited,832773
358,EIDPARRY,EID Parry India Limited,832025
359,INGERRAND,Ingersoll Rand (India) Limited,826750
360,GALAXYSURF,Galaxy Surfactants Limited,825883
361,PPLPHARMA,Piramal Pharma Limited,816827
362,UTIAMC,UTI Asset Management Company Limited,815164
363,KRBL,KRBL Limited,813978
364,RAYMOND,Raymond Limited,813564
365,ASTRAZEN,AstraZeneca Pharma India Limited,813200
366,VIPIND,VIP Industries Limited,811260
367,ACI,Archean Chemical Industries Limited,800398
368,BALRAMCHIN,Balrampur Chini Mills Limited,799363
369,SUZLON,Suzlon Energy Limited,795774
370,GODREJAGRO,Godrej Agrovet Limited,793048
371,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,791626
372,ERIS,Eris Lifesciences Limited,778012
373,PGHL,Procter & Gamble Health Limited,777855
374,MEDPLUS,Medplus Health Services Limited,775129
375,SAPPHIRE,Sapphire Foods India Limited,774012
376,DATAPATTNS,Data Patterns (India) Limited,770171
378,JBMA,JBM Auto Limited,761512
379,EASEMYTRIP,Easy Trip Planners Limited,757908
380,CCL,CCL Products (India) Limited,755133
381,EQUITASBNK,Equitas Small Finance Bank Limited,745185
382,CHALET,Chalet Hotels Limited,744548
383,RAINBOW,Rainbow Childrens Medicare Limited,741470
384,PNCINFRA,PNC Infratech Limited,741142
385,FSL,Firstsource Solutions Limited,735325
386,KSB,Ksb Limited,729155
387,BSOFT,BIRLASOFT LIMITED,717824
388,KNRCON,KNR Constructions Limited,713492
389,SHOPERSTOP,Shoppers Stop Limited,711340
390,SYMPHONY,Symphony Limited,709469
391,CENTURYTEX,Century Textiles & Industries Limited,708151
392,CANFINHOME,Can Fin Homes Limited,704652
393,GRANULES,Granules India Limited,703618
