Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
1087,ELIN,Elin Electronics Limited,59864
1088,MONARCH,Monarch Networth Capital Limited,59786
1089,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,59581
1090,CHEVIOT,Cheviot Company Limited,59375
1091,XCHANGING,Xchanging Solutions Limited,59267
1092,VISAKAIND,Visaka Industries Limited,59084
1093,SUMMITSEC,Summit Securities Limited,59039
1094,SUKHJITS,Sukhjit Starch & Chemicals Limited,58817
1095,INDIANHUME,Indian Hume Pipe Company Limited,58791
1096,JUBLINDS,Jubilant Industries Limited,58468
1097,ASALCBR,Associated Alcohols & Breweries Ltd.,58342
1098,DECCANCE,Deccan Cements Limited,58257
1099,JAYBARMARU,Jay Bharat Maruti Limited,57567
1100,APOLLO,Apollo Micro Systems Limited,57495
1101,ELDEHSG,Eldeco Housing And Industries Limited,57420
1102,HERCULES,Hercules Hoists Limited,57088
1104,KRITI,Kriti Industries (India) Limited,56424
1105,AGSTRA,AGS Transact Technologies Limited,56331
1106,NAHARPOLY,Nahar Poly Films Limited,56208
1107,MANINDS,Man Industries (India) Limited,55956
1108,ENIL,Entertainment Network (India) Limited,55679
1109,SYNCOMF,Syncom Formulations (India) Limited,55460
1110,KAMOPAINTS,Kamdhenu Ventures Limited,55218
1111,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,55022
1112,SCPL,Sheetal Cool Products Limited,54994
1113,HPL,HPL Electric & Power Limited,54495
1114,INDOAMIN,Indo Amines Limited,54402
1115,DCMSRIND,DCM Shriram Industries Limited,54109
1116,MENONBE,Menon Bearings Limited,54051
1117,VASCONEQ,Vascon Engineers Limited,54003
1118,VLSFINANCE,VLS Finance Limited,53915
1119,BALAXI,BALAXI PHARMACEUTICALS LIMITED,53870
1120,ZEEMEDIA,Zee Media Corporation Limited,53787
1121,CREATIVE,Creative Newtech Limited,53676
1122,SNOWMAN,Snowman Logistics Limited,53468
1123,KOPRAN,Kopran Limited,53275
1124,SHREYAS,Shreyas Shipping & Logistics Limited,52555
1125,REFEX,Refex Industries Limited,52548
1126,KSOLVES,Ksolves India Limited,52433
1127,GFLLIMITED,GFL Limited,52289
1128,RUSHIL,Rushil Decor Limited,52115
1129,IRISDOREME,Iris Clothings Limited,51765
1130,SELMC,SEL Manufacturing Company Limited,51276
1131,BHAGERIA,Bhageria Industries Limited,51064
1132,ZUARI,Zuari Agro Chemicals Limited,50974
1133,TALBROAUTO,Talbros Automotive Components Limited,50512
1134,RUBYMILLS,The Ruby Mills Limited,50511
1135,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,49508
1136,DPWIRES,D P Wires Limited,49313
1137,SMSPHARMA,SMS Pharmaceuticals Limited,49310
1138,DHARMAJ,Dharmaj Crop Guard Limited,48938
1139,RBL,Rane Brake Lining Limited,48745
1140,GOYALALUM,Goyal Aluminiums Limited,48700
1141,NRL,Nupur Recyclers Limited,48208
1142,MIRZAINT,Mirza International Limited,48163
1143,VIKASLIFE,Vikas Lifecare Limited,48105
1144,WINDLAS,Windlas Biotech Limited,47559
1145,HITECHGEAR,The Hi-Tech Gears Limited,47408
1146,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,46870
1147,SPENCERS,Spencer's Retail Limited,46692
1148,KANORICHEM,Kanoria Chemicals & Industries Limited,46555
1149,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,46505
1150,ASAL,Automotive Stampings and Assemblies Limited,46499
1151,SILVERTUC,Silver Touch Technologies Limited,46343
1152,3IINFOLTD,3i Infotech Limited,46244
1153,MALLCOM,Mallcom (India) Limited,45795
1154,CREST,Crest Ventures Limited,45378
1155,REPRO,Repro India Limited,45370
1156,MARINE,Marine Electricals (India) Limited,45284
1157,KECL,Kirloskar Electric Company Limited,45261
1158,DENORA,De Nora India Limited,45211
1159,EXXARO,Exxaro Tiles Limited,45121
1160,MAGADSUGAR,Magadh Sugar & Energy Limited,44980
1161,ASIANTILES,Asian Granito India Limited,44424
1162,JAYAGROGN,Jayant Agro Organics Limited,44025
1163,DIGISPICE,DiGiSPICE Technologies Limited,43993
1164,BBTCL,B&B Triplewall Containers Limited,43935
1165,PREMEXPLN,Premier Explosives Limited,43477
1166,SWELECTES,Swelect Energy Systems Limited,43240
1167,KELLTONTEC,Kellton Tech Solutions Limited,42522
1168,MUTHOOTCAP,Muthoot Capital Services Limited,42336
1169,APCL,Anjani Portland Cement Limited,42182
1170,ASIANENE,Asian Energy Services Limited,42053
1171,DONEAR,Donear Industries Limited,41912
1172,ADSL,Allied Digital Services Limited,41616
1173,BANSWRAS,Banswara Syntex Limited,41472
1174,NAHARCAP,Nahar Capital and Financial Services Limited,41472
1175,ICEMAKE,Ice Make Refrigeration Limited,41374
1176,BAIDFIN,Baid Finserv Limited,41063
1177,STCINDIA,The State Trading Corporation of India Limited,41040
1178,TBZ,Tribhovandas Bhimji Zaveri Limited,40772
1179,SALZERELEC,Salzer Electronics Limited,40588
1180,IFBAGRO,IFB Agro Industries Limited,40335
1181,PTL,PTL Enterprises Limited,40309
1182,ARIHANTCAP,Arihant Capital Markets Limited,40240
1183,CSLFINANCE,CSL Finance Limited,40159
1184,UNIVPHOTO,Universus Photo Imagings Limited,39862
1185,HARDWYN,Hardwyn India Limited,39857
1186,DSSL,Dynacons Systems & Solutions Limited,39736
1187,REVATHI,Revathi Equipment Limited,39352
1188,HCL-INSYS,HCL Infosystems Limited,39341
1189,PLASTIBLEN,Plastiblends India Limited,39244
1190,UNIDT,United Drilling Tools Limited,39084
1191,CAREERP,Career Point Limited,39033
1192,ARROWGREEN,Arrow Greentech Limited,39010
1193,SREEL,Sreeleathers Limited,38924
1194,SBC,SBC Exports Limited,38836
1195,RADIOCITY,Music Broadcast Limited,38303
1196,SERVOTECH,Servotech Power Systems Limited,38278
1197,SAKAR,Sakar Healthcare Limited,38194
1198,BALAJITELE,Balaji Telefilms Limited,37519
1199,GOACARBON,Goa Carbon Limited,37428
1200,BIRLACABLE,Birla Cable Limited,37380
1201,RITCO,Ritco Logistics Limited,37082
1202,SELAN,Selan Exploration Technology Limited,36997
1203,OSIAHYPER,Osia Hyper Retail Limited,36661
1204,HINDCOMPOS,Hindustan Composites Limited,36598
1205,DHANBANK,Dhanlaxmi Bank Limited,36560
1206,DYCL,Dynamic Cables Limited,36554
1207,DHUNINV,Dhunseri Investments Limited,36546
1208,EIFFL,Euro India Fresh Foods Limited,36382
1209,MUNJALAU,Munjal Auto Industries Limited,36300
1210,NAHARINDUS,Nahar Industrial Enterprises Limited,36051
1211,DELPHIFX,DELPHI WORLD MONEY LIMITED,36038
1212,URJA,Urja Global Limited,35994
1213,PRIMESECU,Prime Securities Limited,35852
1214,NECLIFE,Nectar Lifesciences Limited,35770
1215,NBIFIN,N. B. I. Industrial Finance Company Limited,35680
1216,GRPLTD,GRP Limited,35600
1217,MAWANASUG,Mawana Sugars Limited,35244
1218,ZIMLAB,Zim Laboratories Limited,35204
1219,PDMJEPAPER,Pudumjee Paper Products Limited,35084
1220,ONEPOINT,One Point One Solutions Limited,35073
1221,MAXIND,Max India Limited,35047
1222,SHYAMCENT,Shyam Century Ferrous Limited,35009
1223,VARDHACRLC,Vardhman Acrylics Limited,34958
1224,RADHIKAJWE,Radhika Jeweltech Limited,34940
1225,THEINVEST,The Investment Trust Of India Limited,34924
1226,HTMEDIA,HT Media Limited,34796
1227,NRAIL,N R Agarwal Industries Limited,34702
1228,RCOM,Reliance Communications Limited,34569
1229,DICIND,DIC India Limited,34536
1230,OSWALAGRO,Oswal Agro Mills Limited,34498
1231,POCL,Pondy Oxides & Chemicals Limited,34479
1232,AARTISURF,Aarti Surfactants Limited,34411
1233,SKMEGGPROD,SKM Egg Products Export (India) Limited,34400
1234,DEEPENR,DEEP ENERGY RESOURCES LIMITED,34336
1235,FCSSOFT,FCS Software Solutions Limited,34191
1236,MUNJALSHOW,Munjal Showa Limited,34076
1237,KOTHARIPRO,Kothari Products Limited,34052
1238,PONNIERODE,Ponni Sugars (Erode) Limited,34033
1239,CHEMBOND,Chembond Chemicals Ltd,34017
1240,KERNEX,Kernex Microsystems (India) Limited,33878
1241,RANASUG,Rana Sugars Limited,33785
1242,CUPID,Cupid Limited,33752
1243,BGRENERGY,BGR Energy Systems Limited,33699
1244,GENUSPAPER,Genus Paper & Boards Limited,33555
1245,GSS,GSS Infotech Limited,33552
1246,PENINLAND,Peninsula Land Limited,33365
1247,JYOTISTRUC,Jyoti Structures Limited,33313
1248,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,33301
1249,KAYA,Kaya Limited,33222
1250,KOTHARIPET,Kothari Petrochemicals Limited,33219
1251,LIBERTSHOE,Liberty Shoes Limited,33168
1252,KHADIM,Khadim India Limited,33145
1253,PPL,Prakash Pipes Limited,33139
1254,VIPCLOTHNG,VIP Clothing Limited,33121
1255,NDRAUTO,Ndr Auto Components Limited,32996
1257,INDOBORAX,Indo Borax & Chemicals Limited,32716
1258,CONSOFINVT,Consolidated Finvest & Holdings Limited,32682
1259,INDSWFTLAB,Ind-Swift Laboratories Limited,32616
1260,ZUARIIND,ZUARI INDUSTRIES LIMITED,32432
1261,GVKPIL,GVK Power & Infrastructure Limited,32362
1262,SBGLP,Suratwwala Business Group Limited,32099
1264,CHEMFAB,Chemfab Alkalis Limited,32087
1265,GLOBAL,Global Education Limited,31640
1266,INTLCONV,International Conveyors Limited,31464
1267,ORBTEXP,Orbit Exports Limited,31372
1268,SOUTHWEST,South West Pinnacle Exploration Limited,31167
1269,KAMATHOTEL,Kamat Hotels (I) Limited,31013
1270,RAJMET,Rajnandini Metal Limited,30966
1271,RAMAPHO,Rama Phosphates Limited,30910
1272,OMINFRAL,OM INFRA LIMITED,30865
1273,HMVL,Hindustan Media Ventures Limited,30832
1274,AYMSYNTEX,AYM Syntex Limited,30716
1275,MSPL,MSP Steel & Power Limited,30448
1276,WEALTH,Wealth First Portfolio Managers Limited,30335
1277,UNITECH,Unitech Limited,30087
1278,WEBELSOLAR,Websol Energy System Limited,29971
1279,NURECA,Nureca Limited,29956
1280,LYKALABS,Lyka Labs Limited,29938
1281,GKWLIMITED,GKW Limited,29785
1282,MHLXMIRU,Mahalaxmi Rubtech Limited,29710
1283,AURUM,Aurum PropTech Limited,29574
1284,SKYGOLD,Sky Gold Limited,29272
1285,ALBERTDAVD,Albert David Limited,29252
1286,PAVNAIND,Pavna Industries Limited,29203
1287,CINELINE,Cineline India Limited,29167
1288,KOTARISUG,Kothari Sugars And Chemicals Limited,28928
1289,SHEMAROO,Shemaroo Entertainment Limited,28908
1290,SILINV,SIL Investments Limited,28752
1291,MMP,MMP Industries Limited,28603
1292,EQUIPPP,Equippp Social Impact Technologies Limited,28506
1293,MANORG,Mangalam Organics Limited,28490
1294,CYBERTECH,Cybertech Systems And Software Limited,28359
1295,TRIGYN,Trigyn Technologies Limited,28292
1296,SINTERCOM,Sintercom India Limited,28161
1297,JINDALPHOT,Jindal Photo Limited,28005
1298,SARLAPOLY,Sarla Performance Fibers Limited,27890
1299,RUCHIRA,Ruchira Papers Limited,27845
1300,ESSENTIA,Integra Essentia Limited,27650
1301,MACPOWER,Macpower CNC Machines Limited,27591
1302,AUTOIND,Autoline Industries Limited,27527
1304,APOLSINHOT,Apollo Sindoori Hotels Limited,27359
1305,DYNPRO,Dynemic Products Limited,27281
1306,CLEDUCATE,CL Educate Limited,27259
1307,PARSVNATH,Parsvnath Developers Limited,27199
1309,MIRCELECTR,MIRC Electronics Limited,27137
1310,VISHWARAJ,Vishwaraj Sugar Industries Limited,27134
1311,HINDMOTORS,Hindustan Motors Limited,26917
1312,NINSYS,NINtec Systems Limited,26889
1313,NATHBIOGEN,Nath Bio-Genes (India) Limited,26843
1314,GEECEE,GeeCee Ventures Limited,26725
1315,KCPSUGIND,KCP Sugar and Industries Corporation Limited,26702
1316,STEL,Stel Holdings Limited,26520
1317,PODDARMENT,Poddar Pigments Limited,26355
1318,HITECHCORP,Hitech Corporation Limited,26339
1319,MICEL,MIC Electronics Limited,26241
1320,ORICONENT,Oricon Enterprises Limited,26227
1321,20MICRONS,20 Microns Limited,26218
1322,MINDTECK,Mindteck (India) Limited,26149
1323,GOKUL,Gokul Refoils and Solvent Limited,26036
1324,WEL,Wonder Electricals Limited,25957
1325,SUPERHOUSE,Superhouse Limited,25947
1326,LOYALTEX,Loyal Textile Mills Limited,25922
1327,BPL,BPL Limited,25859
1328,BIRLAMONEY,Aditya Birla Money Limited,25714
1329,GPTINFRA,GPT Infraprojects Limited,25625
1330,E2E,E2E Networks Limited,25585
1331,SHIVAMAUTO,Shivam Autotech Limited,25544
1332,DCMNVL,DCM Nouvelle Limited,25215
1333,MAZDA,Mazda Limited,24821
1334,WINDMACHIN,Windsor Machines Limited,24544
1335,BASML,Bannari Amman Spinning Mills Limited,24316
1336,WALCHANNAG,Walchandnagar Industries Limited,24223
1337,SEJALLTD,Sejal Glass Limited,24083
1339,MAHEPC,Mahindra EPC Irrigation Limited,23983
1340,V2RETAIL,V2 Retail Limited,23969
1341,SAKUMA,Sakuma Exports Limited,23925
1342,VERTOZ,Vertoz Advertising Limited,23910
1343,KMSUGAR,K.M.Sugar Mills Limited,23874
1344,ASHIMASYN,Ashima Limited,23862
1345,UFO,UFO Moviez India Limited,23841
1346,VIKASECO,Vikas EcoTech Limited,23714
1347,SAKHTISUG,Sakthi Sugars Limited,23710
1348,MAHESHWARI,Maheshwari Logistics Limited,23574
1349,MAANALU,Maan Aluminium Limited,23540
1350,HUBTOWN,Hubtown Limited,23511
1351,REPL,Rudrabhishek Enterprises Limited,23412
1352,MANAKSTEEL,Manaksia Steels Limited,23265
1353,EMAMIREAL,Emami Realty Limited,23236
1354,GENCON,Generic Engineering Construction and Projects Limited,23177
1355,STARPAPER,Star Paper Mills Limited,22843
1356,GUJAPOLLO,Gujarat Apollo Industries Limited,22745
1357,JAYSREETEA,Jayshree Tea & Industries Limited,22712
1358,NDL,Nandan Denim Limited,22631
1359,BCONCEPTS,Brand Concepts Limited,22525
1360,GIRRESORTS,GIR Natureview Resorts Limited,22472
1361,SMLT,Sarthak Metals Limited,22451
1362,TPLPLASTEH,TPL Plastech Limited,22309
1363,TEMBO,Tembo Global Industries Limited,22224
1364,DANGEE,Dangee Dums Limited,22095
1365,NIPPOBATRY,Indo-National Limited,22069
1366,ASIANHOTNR,Asian Hotels (North) Limited,22041
1367,BRNL,Bharat Road Network Limited,22037
1368,PPAP,PPAP Automotive Limited,21980
1369,PASUPTAC,Pasupati Acrylon Limited,21882
1370,ASAHISONG,Asahi Songwon Colors Limited,21801
1371,PRECOT,Precot Limited,21792
1372,MEP,MEP Infrastructure Developers Limited,21738
1373,VENUSREM,Venus Remedies Limited,21715
1374,KILITCH,Kilitch Drugs (India) Limited,21691
1375,BTML,Bodhi Tree Multimedia Limited,21618
1376,MEGASTAR,Megastar Foods Limited,21508
1377,DRCSYSTEMS,DRC Systems India Limited,21446
1378,ZODIACLOTH,Zodiac Clothing Company Limited,21276
1379,HILTON,Hilton Metal Forging Limited,20979
1380,INDOTHAI,Indo Thai Securities Limited,20855
1381,JITFINFRA,JITF Infralogistics Limited,20846
1382,EROSMEDIA,Eros International Media Limited,20765
1383,DEVIT,Dev Information Technology Limited,20725
1384,BIL,Bhartiya International Limited,20703
1385,EIMCOELECO,Eimco Elecon (India) Limited,20547
1386,ANMOL,Anmol India Limited,20512
1387,COASTCORP,Coastal Corporation Limited,20384
1388,RAJTV,Raj Television Network Limited,20376
1389,RELCAPITAL,Reliance Capital Limited,20217
1390,MGEL,Mangalam Global Enterprise Limited,20091
1391,INDTERRAIN,Indian Terrain Fashions Limited,19976
1392,TAKE,Take Solutions Limited,19971
1393,TOTAL,Total Transport Systems Limited,19957
1394,ACCURACY,Accuracy Shipping Limited,19949
1395,AVG,AVG Logistics Limited,19894
1396,HARRMALAYA,Harrisons  Malayalam Limited,19784
1397,SHREYANIND,Shreyans Industries Limited,19742
1398,LOKESHMACH,Lokesh Machines Limited,19686
1399,LGBFORGE,LGB Forge Limited,19652
1400,SIGMA,Sigma Solve Limited,19440
1401,MARALOVER,Maral Overseas Limited,19426
1402,ABAN,Aban Offshore Limited,19406
1403,BAFNAPH,Bafna Pharmaceuticals Limited,19398
1404,BEDMUTHA,Bedmutha Industries Limited,19391
1405,SIMPLEXINF,Simplex Infrastructures Limited,19314
1406,ARIES,Aries Agro Limited,19305
1407,DTIL,Dhunseri Tea & Industries Limited,19087
1408,KRITINUT,Kriti Nutrients Limited,19039
1409,IVC,IL&FS Investment Managers Limited,18528
1410,IITL,Industrial Investment Trust Limited,18433
1411,AARON,Aaron Industries Limited,18416
1412,NILAINFRA,Nila Infrastructures Limited,18316
1413,INDOTECH,Indo Tech Transformers Limited,18261
1414,PVP,PVP Ventures Limited,18134
1415,AHLEAST,Asian Hotels (East) Limited,18035
1416,SAH,Sah Polymers Limited,18019
1417,TIPSFILMS,Tips Films Limited,17951
1418,KANPRPLA,Kanpur Plastipack Limited,17690
1419,VINNY,Vinny Overseas Limited,17679
1420,MCLEODRUSS,Mcleod Russel India Limited,17653
1421,TRF,TRF Limited,17624
1422,MANOMAY,Manomay Tex India Limited,17591
1423,INSPIRISYS,Inspirisys Solutions Limited,17511
1424,AIRAN,Airan Limited,17378
1425,MODISONLTD,MODISON LIMITED,17345
1426,MURUDCERA,Murudeshwar Ceramics Limited,17309
1427,PAR,Par Drugs And Chemicals Limited,17226
1428,SGIL,Synergy Green Industries Limited,16977
1429,SPLIL,SPL Industries Limited,16965
1430,GEEKAYWIRE,Geekay Wires Limited,16838
1431,PALREDTEC,Palred Technologies Limited,16728
1432,ESSARSHPNG,Essar Shipping Limited,16558
1433,SIL,Standard Industries Limited,16533
1434,PRITI,Priti International Limited,16528
1435,AKSHARCHEM,AksharChem India Limited,16472
1436,RAMANEWS,Shree Rama Newsprint Limited,16449
1437,RUCHINFRA,Ruchi Infrastructure Limited,16419
1438,ALANKIT,Alankit Limited,16393
1439,MEGASOFT,Megasoft Limited,16303
1440,IZMO,IZMO Limited,16237
1441,GULFPETRO,GP Petroleums Limited,16188
1442,TOUCHWOOD,Touchwood Entertainment Limited,16153
1444,TARMAT,Tarmat Limited,16082
1445,RPPL,Rajshree Polypack Limited,16080
1446,IEL,Indiabulls Enterprises Limited,15966
1447,BHARATGEAR,Bharat Gears Limited,15885
1448,GOLDTECH,Goldstone Technologies Limited,15856
1449,MBLINFRA,MBL Infrastructure Limited,15766
1450,IL&FSENGG,IL&FS Engineering and Construction Company Limited,15735
1451,BSL,BSL Limited,15726
1452,UNITEDPOLY,United Polyfab Gujarat Limited,15703
1453,PASHUPATI,Pashupati Cotspin Limited,15605
1454,SHIVATEX,Shiva Texyarn Limited,15536
1455,MANGALAM,Mangalam Drugs And Organics Limited,15512
1456,PREMIERPOL,Premier Polyfilm Limited,15429
1457,SMSLIFE,SMS Lifesciences India Limited,15420
1458,BROOKS,Brooks Laboratories Limited,15402
1459,VAISHALI,Vaishali Pharma Limited,15387
1460,ALMONDZ,Almondz Global Securities Limited,15376
1461,3RDROCK,3rd Rock Multimedia Limited,15316
1462,PRESSMN,Pressman Advertising Limited,15299
1463,AARVI,Aarvi Encon Limited,15272
1464,AKSHAR,Akshar Spintex Limited,15249
1465,LATTEYS,Latteys Industries Limited,15236
1466,VISESHINFO,Visesh Infotecnics Limited,15098
1467,BHAGYANGR,Bhagyanagar India Limited,15038
1468,TTL,T T Limited,14984
1469,SADBHAV,Sadbhav Engineering Limited,14841
1470,COMPUSOFT,Compucom Software Limited,14796
1471,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,14794
1472,RPPINFRA,R.P.P. Infra Projects Limited,14790
1473,SVLL,Shree Vasu Logistics Limited,14780
1474,SMARTLINK,Smartlink Holdings Limited,14763
1475,ASPINWALL,Aspinwall and Company Limited,14761
1476,LAMBODHARA,Lambodhara Textiles Limited,14684
1477,DJML,DJ Mediaprint & Logistics Limited,14683
1478,TIL,TIL Limited,14649
1479,ELGIRUBCO,Elgi Rubber Company Limited,14640
1480,WORTH,Worth Peripherals Limited,14491
1481,ISFT,Intrasoft Technologies Limited,14481
1482,GINNIFILA,Ginni Filaments Limited,14475
1483,PILITA,PIL ITALICA LIFESTYLE LIMITED,14453
1484,SOFTTECH,Softtech Engineers Limited,14437
1485,DUCON,Ducon Infratechnologies Limited,14427
1486,VETO,Veto Switchgears And Cables Limited,14374
1487,RANEENGINE,Rane Engine Valve Limited,14267
1488,AVONMORE,Avonmore Capital & Management Services Limited,14222
1489,KBCGLOBAL,KBC Global Limited,14145
1490,PANSARI,Pansari Developers Limited,14071
1491,MODIRUBBER,Modi Rubber Limited,14060
1492,INVENTURE,Inventure Growth & Securities Limited,13860
1493,KAPSTON,Kapston Services Limited,13831
1494,AKSHOPTFBR,Aksh Optifibre Limited,13748
1495,JMA,Jullundur Motor Agency (Delhi) Limited,13739
1496,EMMBI,Emmbi Industries Limited,13736
1497,NITCO,Nitco Limited,13725
1498,IRIS,Iris Business Services Limited,13669
1499,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,13476
1500,JOCIL,Jocil Limited,13455
1501,MANAKALUCO,Manaksia Aluminium Company Limited,13369
1502,VIPULLTD,Vipul Limited,13258
1503,SIKKO,Sikko Industries Limited,13255
1504,GILLANDERS,Gillanders Arbuthnot & Company Limited,13158
1505,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,13093
1506,VISASTEEL,Visa Steel Limited,13084
1507,DCM,DCM  Limited,13084
1508,INTENTECH,Intense Technologies Limited,12991
1509,TEXMOPIPES,Texmo Pipes and Products Limited,12977
1510,WEIZMANIND,Weizmann Limited,12957
1511,BYKE,The Byke Hospitality Ltd,12952
1512,RAJSREESUG,Rajshree Sugars & Chemicals Limited,12923
1513,ZODIAC,Zodiac Energy Limited,12914
1514,ARSHIYA,Arshiya Limited,12910
1515,UMANGDAIRY,Umang Dairies Limited,12905
1516,LOVABLE,Lovable Lingerie Limited,12898
1517,ALPHAGEO,Alphageo (India) Limited,12745
1518,NDGL,Naga Dhunseri Group Limited,12715
1519,PRAXIS,Praxis Home Retail Limited,12713
1520,ARTNIRMAN,Art Nirman Limited,12653
1521,NOIDATOLL,Noida Toll Bridge Company Limited,12568
1522,UMAEXPORTS,Uma Exports Limited,12543
1523,ATLANTA,Atlanta  Limited,12510
1524,MOTOGENFIN,The Motor & General Finance Limited,12509
1525,AVROIND,AVRO INDIA LIMITED,12493
1526,SALONA,Salona Cotspin Limited,12464
1527,INDIANCARD,Indian Card Clothing Company Limited,12459
1528,SPTL,Sintex Plastics Technology Limited,12405
1529,PRITIKAUTO,Pritika Auto Industries Limited,12370
1530,URAVI,Uravi T and Wedge Lamps Limited,12359
1531,IVP,IVP Limited,12293
1532,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,12282
1533,SOMATEX,Soma Textiles & Industries Limited,12255
1534,LEXUS,Lexus Granito (India) Limited,12215
1535,WANBURY,Wanbury Limited,12199
1536,LOTUSEYE,Lotus Eye Hospital and Institute Limited,12187
1537,KREBSBIO,Krebs Biochemicals and Industries Limited,12182
1538,RNAVAL,Reliance Naval and Engineering Limited,12170
1539,WSI,W S Industries (I) Limited,12125
1540,RHFL,Reliance Home Finance Limited,12114
1541,HDIL,Housing Development and Infrastructure Limited,12087
1542,DCI,Dc Infotech And Communication Limited,12048
1543,RVHL,Ravinder Heights Limited,12036
1544,XELPMOC,Xelpmoc Design And Tech Limited,11906
1545,RKEC,RKEC Projects Limited,11875
1546,RELCHEMQ,Reliance Chemotex Industries Limited,11870
1547,DIL,Debock Industries Limited,11848
1548,ATALREAL,Atal Realtech Limited,11782
1549,KOHINOOR,Kohinoor Foods Limited,11696
1550,SALSTEEL,S.A.L. Steel Limited,11640
1552,INDOWIND,Indowind Energy Limited,11559
1553,BLBLIMITED,BLB Limited,11498
1554,FRETAIL,Future Retail Limited,11388
1555,ROML,Raj Oil Mills Limited,11361
1556,SURANAT&P,Surana Telecom and Power Limited,11336
1557,ALPA,Alpa Laboratories Limited,11320
1558,SUNDRMBRAK,Sundaram Brake Linings Limited,11143
1559,NILASPACES,Nila Spaces Limited,11029
1560,AHLADA,Ahlada Engineers Limited,10970
1561,MAGNUM,Magnum Ventures Limited,10942
1562,REMSONSIND,Remsons Industries Limited,10918
1563,STARTECK,Starteck Finance Limited,10882
1564,BOHRAIND,Bohra Industries Limited,10866
1565,COMPINFO,Compuage Infocom Limited,10850
1566,CORALFINAC,Coral India Finance & Housing Limited,10801
1567,MRO-TEK,MRO-TEK Realty Limited,10706
1568,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,10641
1569,ZEELEARN,Zee Learn Limited,10598
1570,SADBHIN,Sadbhav Infrastructure Project Limited,10567
1571,BALPHARMA,Bal Pharma Limited,10520
1572,NIRAJ,Niraj Cement Structurals Limited,10400
1573,OBCL,Orissa Bengal Carrier Limited,10299
1574,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,10169
1575,ARCHIDPLY,Archidply Industries Limited,10072
1576,JHS,JHS Svendgaard Laboratories Limited,10060
1577,SITINET,Siti Networks Limited,10029
1578,MUKTAARTS,Mukta Arts Limited,10017
1579,GAYAPROJ,Gayatri Projects Limited,10015
1580,AKG,Akg Exim Limited,9994
1581,FCONSUMER,Future Consumer Limited,9985
1582,PALASHSECU,Palash Securities Limited,9908
1583,CCHHL,Country Club Hospitality & Holidays Limited,9890
1584,SIGIND,Signet Industries Limited,9847
1585,AIROLAM,Airo Lam limited,9811
1586,WELINV,Welspun Investments and Commercials Limited,9790
1587,CTE,Cambridge Technology Enterprises Limited,9766
1588,UNIVASTU,Univastu India Limited,9745
1589,SUNDARAM,Sundaram Multi Pap Limited,9714
1590,MANAKCOAT,Manaksia Coated Metals & Industries Limited,9699
1591,ARVEE,Arvee Laboratories (India) Limited,9698
1592,SECURCRED,SecUR Credentials Limited,9650
1593,ASTRON,Astron Paper & Board Mill Limited,9602
1594,FLFL,Future Lifestyle Fashions Limited,9584
1595,STEELCITY,Steel City Securities Limited,9540
1596,GANGESSECU,Ganges Securities Limited,9448
1597,INDBANK,Indbank Merchant Banking Services Limited,9364
1598,SUMIT,Sumit Woods Limited,9329
1599,FIBERWEB,Fiberweb (India) Limited,9329
1600,ALKALI,Alkali Metals Limited,9317
1601,LASA,Lasa Supergenerics Limited,9294
1602,JAIPURKURT,Nandani Creation Limited,9239
1603,DGCONTENT,Digicontent Limited,9106
1604,PKTEA,The Peria Karamalai Tea & Produce Company Limited,9057
1605,DAMODARIND,Damodar Industries Limited,9029
1606,NECCLTD,North Eastern Carrying Corporation Limited,8985
1607,CAPTRUST,Capital Trust Limited,8950
1608,MITCON,MITCON Consultancy & Engineering Services Limited,8925
1609,TIRUPATIFL,Tirupati Forge Limited,8918
1610,IL&FSTRANS,IL&FS Transportation Networks Limited,8882
1611,SRPL,Shree Ram Proteins Limited,8836
1612,SURYALAXMI,Suryalakshmi Cotton Mills Limited,8810
1613,CEREBRAINT,Cerebra Integrated Technologies Limited,8786
1614,KSHITIJPOL,Kshitij Polyline Limited,8738
1615,LAGNAM,Lagnam Spintex Limited,8728
1616,AMJLAND,Amj Land Holdings Limited,8692
1617,BINANIIND,Binani Industries Limited,8688
1618,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,8534
1619,SHAHALLOYS,Shah Alloys Limited,8513
1620,AMDIND,AMD Industries Limited,8510
1621,OMAXAUTO,Omax Autos Limited,8463
1622,TOKYOPLAST,Tokyo Plast International Limited,8447
1623,GROBTEA,The Grob Tea Company Limited,8444
1624,ANIKINDS,Anik Industries Limited,8423
1625,SURANASOL,Surana Solar Limited,8390
